Cycling Track,Women's Omnium,1,1,1,GBR,TROTT Laura ,USA,HAMMER Sarah ,BEL,D'HOORE Jolien 
Cycling Track,Women's Sprint,1,1,1,GER,VOGEL Kristina ,GBR,JAMES Rebecca ,GBR,MARCHANT Katy 
Cycling Track,Women's Team Pursuit,1,1,1,GBR,Great Britain,USA,United States,CAN,Canada
Cycling Track,Women's Team Sprint,1,1,1,CHN,Gong / Zhong,RUS,Voinova / Shmeleva,GER,Vogel / Welte
Diving,Men's 10m Platform,1,1,1,CHN,CHEN Aisen ,MEX,SANCHEZ German ,USA,BOUDIA David 
Diving,Men's 3m Springboard,1,1,1,CHN,CAO Yuan ,GBR,LAUGHER Jack ,GER,HAUSDING Patrick 
Diving,Men's Synchronised 10m Platform,1,1,1,CHN,Lin / Chen,USA,Boudia / Johnson,GBR,Daley / Goodfellow
Diving,Men's Synchronised 3m Springboard,1,1,1,GBR,Laugher / Mears,USA,Dorman / Hixon,CHN,Cao / Qin
Diving,Women's 10m Platform,1,1,1,CHN,REN Qian ,CHN,SI Yajie ,CAN,BENFEITO Meaghan 
Diving,Women's 3m Springboard,1,1,1,CHN,SHI Tingmao ,CHN,HE Zi ,ITA,CAGNOTTO Tania 
Diving,Women's Synchronised 10m Platform,1,1,1,CHN,Liu / Chen,MAS,Cheong / Pamg,CAN,Benfeito / Filion
Diving,Women's Synchronised 3m Springboard,1,1,1,CHN,Wu / Shi,ITA,Cagnotto / Dallape',AUS,Keeney / Smith
Equestrian,Dressage Individual,1,1,1,GBR,DUJARDIN Charlotte ,GER,WERTH Isabell ,GER,BRORING-SPREHE Kristina 
Equestrian,Dressage Team,1,1,1,GER,Germany,GBR,Great Britain,USA,United States
Equestrian,Eventing Individual,1,1,1,GER,JUNG Michael ,FRA,NICOLAS Astier ,USA,DUTTON Phillip 
Equestrian,Eventing Team,1,1,1,FRA,France,GER,Germany,AUS,Australia
Equestrian,Jumping Individual,1,1,1,GBR,SKELTON Nick ,SWE,FREDRICSON Peder ,CAN,LAMAZE Eric 
Equestrian,Jumping Team,1,1,1,FRA,France,USA,United States,GER,Germany
Fencing,Men's Épée Individual,1,1,1,KOR,PARK Sangyoung ,HUN,IMRE Geza ,FRA,GRUMIER Gauthier 
Fencing,Men's Épée Team,1,1,1,FRA,France,ITA,Italy,HUN,Hungary
Fencing,Men's Foil Individual,1,1,1,ITA,GAROZZO Daniele ,USA,MASSIALAS Alexander ,RUS,SAFIN Timur 
Fencing,Men's Foil Team,1,1,1,RUS,Russian Federation,FRA,France,USA,United States
Fencing,Men's Sabre Individual,1,1,1,HUN,SZILAGYI Aron ,USA,HOMER Daryl ,KOR,KIM Junghwan 
Fencing,Women's Épée Individual,1,1,1,HUN,SZASZ Emese ,ITA,FIAMINGO Rossella ,CHN,SUN Yiwen 
Fencing,Women's Épée Team,1,1,1,ROU,Romania,CHN,China,RUS,Russian Federation
Fencing,Women's Foil Individual,1,1,1,RUS,DERIGLAZOVA Inna ,ITA,DI FRANCISCA Elisa ,TUN,BOUBAKRI Ines 
Fencing,Women's Sabre Individual,1,1,1,RUS,EGORIAN Yana ,RUS,VELIKAYA Sofya ,UKR,KHARLAN Olga 
Fencing,Women's Sabre Team,1,1,1,RUS,Russian Federation,UKR,Ukraine,USA,United States
